datetime,T,TM,Tm,H,PP,VV,V,VM,pm2.5
01/11/2020,24.8,28,22,80,0,5,5.6,11.1,0
02/11/2020,23.2,28,21,69,-,8,10.9,22.2,0
03/11/2020,22.1,24,21,59,0,10,10,18.3,0
04/11/2020,21.6,25,19,64,0,8.7,6.5,18.3,0
05/11/2020,23.6,27,19,66,0,6.6,5.7,11.1,0
06/11/2020,24.2,26,22,71,0,5.6,6.3,16.5,0
07/11/2020,24.9,29,22,55,0,9.7,11.3,24.1,0
08/11/2020,24.6,29,20,51,0,9.8,10.6,20.6,0
09/11/2020,23.1,28,17,44,0,9.8,10,22.2,0
10/11/2020,22.1,27,17,45,0,9.7,8.7,18.3,0
11/11/2020,23,27,19,48,0,8.9,6.5,14.8,0
12/11/2020,23.1,28,18,47,0,9.8,6.9,14.8,0
13/11/2020,22.4,29,15,48,0,9,7.4,16.5,0
14/11/2020,23.1,28,17,48,-,9.2,12,22.2,0
15/11/2020,19.1,20,19,95,-,5,8.5,14.8,0
16/11/2020,20.8,21,20,95,-,3.5,5.4,9.4,0
17/11/2020,23.9,28,21,89,0,5.6,11.1,20.6,0
18/11/2020,25.1,29,23,82,0,7.1,10.4,14.8,0
19/11/2020,25,28,23,82,-,6.4,8.9,13,0
20/11/2020,25.8,29,24,79,0,7.6,11.5,18.3,0
21/11/2020,25.7,30,23,81,0,7.4,12.2,20.6,0
22/11/2020,25.7,29,23,78,0,8.2,8.9,16.5,0
23/11/2020,25.9,30,23,71,-,8.2,10.7,16.5,0
24/11/2020,24.3,27,22,75,-,6.6,9.6,16.5,0
25/11/2020,24.6,27,22,74,0,6.8,8.1,14.8,10.051
26/11/2020,25.3,29,22,69,0,7.2,7.2,14.8,4.349
27/11/2020,22.2,27,18,67,0,9.2,14.8,20.6,5.742
28/11/2020,19.6,23,17,61,0,10,14.8,22.2,3.95
29/11/2020,19.1,22,16,51,0,10,10.7,22.2,2.934
30/11/2020,20.1,23,16,46,0,10,10.4,22.2,3.729
01/12/2020,18.7,21,17,53,0,8.5,11.3,20.6,1.285
02/12/2020,18.7,21,16,61,-,8.2,8.3,14.8,0.994
03/12/2020,18.9,22,16,52,0,9.8,15,20.6,0.774
04/12/2020,16.7,21,13,55,0,9.8,11.9,18.3,3.633
05/12/2020,15.2,20,11,59,0,9.5,9.1,20.6,6.945
06/12/2020,17.3,22,12,61,0,7.2,7.6,13,10.253
07/12/2020,18.8,23,16,59,0,7.7,11.1,18.3,11.365
08/12/2020,17.8,22,13,64,0,6.6,8.7,18.3,8.626
09/12/2020,19.4,23,14,63,0,6.8,8,13,8.607
10/12/2020,19.9,25,16,67,0,4.3,6.5,13,7.754
11/12/2020,21.3,25,18,70,0,4.2,9.4,22.2,8.06
12/12/2020,22,26,19,73,0,5.1,10.7,18.3,9.114
13/12/2020,23.9,28,21,77,0,5,9.1,16.5,11.159
14/12/2020,19.8,28,13,73,-,7.7,17,27.8,9.817
15/12/2020,13.3,14,11,75,-,10,16.7,22.2,11.285
16/12/2020,13.1,15,11,62,-,10,14.6,18.3,11.903
17/12/2020,12.7,15,11,65,0,10,13.7,18.3,10.257
18/12/2020,13.4,16,12,58,0,9.8,13.7,22.2,12.076
19/12/2020,14.8,17,13,47,0,10,14.8,22.2,12.18
20/12/2020,15.4,17,14,41,0,10,12.8,20.6,12.31
21/12/2020,16.1,19,14,43,0,9,10.9,22.2,10.113
22/12/2020,18.6,21,14,45,0,7.9,7,13,12.594
23/12/2020,18.4,21,17,60,0,8.2,9.1,14.8,10.637
24/12/2020,19.2,22,17,58,0,7.1,6.9,16.5,12.563
25/12/2020,19.2,22,15,63,0,6.3,8.5,14.8,12.121
26/12/2020,19.7,22,18,73,-,3.7,7,11.1,12.036
27/12/2020,19.9,21,18,91,-,2.4,6.5,11.1,8.912
28/12/2020,21.8,25,20,85,-,5.1,13.9,20.6,7.26
29/12/2020,22.3,27,18,68,-,7.4,14.3,33.5,13.123
30/12/2020,16.5,20,12,40,0,10,14.6,25.9,10.57
31/12/2020,13.8,18,9,43,0,8.9,9.4,18.3,8.485
01/01/2021,13.1,19,8,40,0,8,7.4,16.5,8.216
02/01/2021,14.1,20,8,48,0,6.8,7.2,13,7.532
03/01/2021,16.1,21,10,49,0,7.6,9.3,18.3,8.164
04/01/2021,16.8,20,14,48,0,7.2,5.2,11.1,8.017
05/01/2021,17.5,20,16,61,0,5,7,13,8.609
06/01/2021,16.2,17,15,63,0,5.5,8.9,14.8,8.042
07/01/2021,13.3,15,10,60,0,8.9,17.6,22.2,9.88
08/01/2021,10.6,12,9,-,0,10,15.7,24.1,9.945
09/01/2021,10.6,12,9,37,0,10,10.7,16.5,6.924
10/01/2021,11.4,13,10,40,0,9.8,8.3,18.3,3.559
11/01/2021,12.9,16,11,36,-,10,10,20.6,7.54
12/01/2021,14.7,19,10,31,0,9.2,8.9,22.2,11.403
13/01/2021,15.5,21,9,42,0,7.6,8.9,20.6,8.815
14/01/2021,16.6,21,10,58,0,5.5,7,13,11.206
15/01/2021,17.1,19,14,71,0,3.7,5.9,14.8,15.025
16/01/2021,18.1,20,16,74,-,3.2,5.7,11.1,14.867
17/01/2021,14.1,16,10,61,-,8.7,12.2,24.1,12.338
18/01/2021,14.8,19,10,51,0,7.9,8.3,16.5,11.975
19/01/2021,15.7,21,10,59,0,5.8,10,18.3,9.594
20/01/2021,17.3,21,13,65,0,3.9,7,11.1,11.832
21/01/2021,17.1,18,16,81,-,2.1,5.2,11.1,14.943
22/01/2021,18.6,23,14,69,0,3.7,6.1,11.1,11.515
23/01/2021,19.4,24,14,66,0,3.9,8.9,13,11.758
24/01/2021,20.4,24,15,70,-,3.7,13.3,18.3,14.864
25/01/2021,20.4,22,19,87,-,4,7.6,14.8,17.648
26/01/2021,20.9,25,18,73,0,6.8,12.2,20.6,9.268
27/01/2021,20.9,23,19,70,0,8,11.9,16.5,9.938
28/01/2021,17.4,20,16,73,-,8.4,10.2,22.2,14.607
29/01/2021,18.2,22,15,67,0,6.6,9.1,14.8,13.623
30/01/2021,18.1,19,16,77,-,3.9,7.8,14.8,6.45
31/01/2021,18.3,19,18,87,-,2.4,5,11.1,9.807
01/02/2021,20.4,23,18,77,0,5,8.1,14.8,10.647
02/02/2021,20.5,23,18,78,-,5.8,10.7,18.3,20.98
03/02/2021,20.8,26,17,73,0,6.9,7.6,18.3,19.764
04/02/2021,19.8,24,17,80,-,4.2,7.8,13,16.523
05/02/2021,21.3,26,17,68,0,6.4,10,14.8,19.526
06/02/2021,20.1,25,16,72,0,5.6,8.7,14.8,20.401
07/02/2021,22.2,26,17,66,0,5,8,14.8,19.839
08/02/2021,19.2,24,15,80,-,6.9,12,24.1,18.605
09/02/2021,15.5,17,14,88,-,6.4,9.8,18.3,19.7
10/02/2021,18.9,23,14,67,0,6.8,8,13,16.561
11/02/2021,-,-,-,-,-,-,-,-,14.821
12/02/2021,-,-,-,-,-,-,-,-,15.903
